name,gender,culture,born,died,titles,aliases,playedBy,tvSeries
Artos Stark,Male,Northmen,"","","",Artos the Implacable,"",""
Artys I Arryn,Male,Andal,", at Giant's Lance","","King of Mountain and Vale, Ser","Falcon Knight, Winged Knight","",""
Arwood Frey,Male,"",In or between 263 AC and 281 AC,"",Ser,"","",""
Arwyn Frey,Female,"",In 285 AC,"","","","",""
Arwyn Oakheart,Female,"","","",Lady of Old Oak,"","",""
Arya Stark,Female,Northmen,"In 289 AC, at Winterfell","",Princess,"Arya Horseface, Arya Underfoot, Arry, Lumpyface, Lumpyhead, Stickboy, Weasel, Nymeria, Squan, Saltb, Cat of the Canaly, Bets, The Blind Girh, The Ugly Little Girl, Mercedenl, Mercye",Maisie Williams,"Season 1, Season 2, Season 3, Season 4, Season 5, Season 6"
Arys Oakheart,Male,Reach,At Old Oak,"In 300 AC, at the Greenblood",Ser,"","",""
Asha Greyjoy,Female,Ironborn,"In 275 AC or 276 AC, at Pyke","","Princess, Captain of the Black Wind, Conqueror of Deepwood Motte","Esgred, The Kraken's Daughter",Gemma Whelan,"Season 2, Season 3, Season 4"
Ashara Dayne,Female,"","","In 283 AC, at Starfall","","","",""
Aubrey Ambrose,Male,"","","",Ser,"","",""
Axell Florent,Male,"","","","Ser, Hand of the Queen (self-styled)","","",""
Baela Targaryen,Female,Valyrian,"In 116 AC, at Pentos","",Lady,"","",""
Baelon Targaryen,Male,Valyrian,At Dragonstone,"","","","",""
Baelon Targaryen,Male,Valyrian,"In 105 AC, at King's Landing","In 105 AC, at King's Landing",Prince,Heir for a Day,"",""
Baelon Targaryen,Male,Valyrian,In or between 53 AC and 64 AC,In 101 AC,"Prince of Dragonstone, Hand of the King","Baelon the Brave, The Spring Prince","",""
Baelor Blacktyde,Male,Ironborn,"","In 300 AC, at Old Wyk","Lord of Blacktyde, Captain of the Nightflyer","","",""
Baelor Hightower,Male,"",At Oldtown,"",Ser,"Baelor Brightsmile, Baelor Breakwind","",""
Baelor I,Male,"","144 AC, at King's Landing","171 AC, at King's Landing","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm","Baelor the Beloved, Baelor the Blessed, Baelor the Befuddled","",""
Baelor Targaryen,Male,"",In 170 AC,"In 209 AC, at Ashford","Prince of Dragonstone, Protector of the Realm, Hand of the King","Baelor Breakspear, The Hammer","",""
Balman Byrch,Male,"","","In 300 AC, at Stokeworth",Ser,"","",""
Balon Botley,Male,Ironborn,"","","","","",""
Balon Swann,Male,Stormlands,"","",Ser,"","",""
Barba Bracken,Female,"",In 155 AC,"","","","",""
Barbrey Dustin,Female,Northmen,"","",Lady of Barrowton,"","",""
Colin Florent,Male,"","","","Ser, Castellan of Brightwater Keep","","",""
Colmar Frey,Male,"",In 288 AC,"","","","",""
Corenna Swann,Female,"","","","","","",""
Corlys Velaryon,Male,Valyrian,In 53 AC,In 132 AC,"Lord of the Tides, Master of Driftmark, Hand of the Queen, Lord Regent, Master of ships",The Sea Snake,"",""
Cortnay Penrose,Male,"",At Parchments,"In 299 AC, at Storm's End","Ser, Castellan of Storm's End","","",""
Corwyn Corbray,Male,"","","In 134 AC, at Runestone","Ser, Lord Regent","","",""
Corwyn Corbray,Male,Andal,"","","Ser, Lord of the Five Fingers","","",""
Crake,Male,"",In Age of Heroes,"","",Crake the Boarkiller,"",""
Cregan Karstark,Male,Northmen,"In 249 AC (roughly), at Karhold","","","","",""
Cregan Stark,Male,Northmen,"",In or after 157 AC,"Lord of Winterfell, Warden of the North, Hand of the King",The Old Man of the North,"",""
Creighton Longbough,Male,"",In or between 240 AC and 249 AC,"",Ser,"","",""
Creighton Redfort,Male,Valemen,"","",Ser,"","",""
Cynthea Frey,Female,"",In 290 AC,"","","","",""
Cyrenna Swann,Female,"",In 236 AC or before,In or between 249 AC and 257 AC,"","","",""
Dacey Mormont,Female,Northmen,In or between 252 AC or 277 AC,"In 299 AC, at the Twins","","","",""
Daella Targaryen,Female,Valyrian,In or between 54 AC and 66 AC,In 82 AC,"Princess, Lady of the Eyrie","","",""
Daella Targaryen,Female,Valyrian,In 199 AC,"",Princess,"","",""
Daemon Blackfyre,Male,Valyrian,"In 170 AC, at King's Landing","In 196 AC, at Redgrass Field","Ser, Protector of the Realm (claimant)","Daemon Waters, The Black Dragon, The King Who Bore the Sword, The Pretender","",""
Daemon II Blackfyre,Male,"",In 188 AC or 189 AC,In or between 211 AC and 219 AC,"King of the Andals, the Rhoynar and the First Men (claimant), Protector of the Realm (claimant)","Ser John the Fiddler, The Brown Dragon","",""
Daemon Targaryen,Male,Valyrian,In 81 AC,"In 130 AC, at the Gods Eye","Prince, Commander of the City Watch, Master of coin, Master of laws, King of the Stepstones and the Narrow Sea, Protector of the Realm","Prince of the City, Lord Flea Bottom, The Rogue Prince","",""
Daena Targaryen,Female,Valyrian,"In 145 AC, at King's Landing","",Princess,Daena the Defiant,"",""
Daenerys Targaryen,Female,"",In 172 AC,"",Princess,"","",""
Daenora Targaryen,Female,Valyrian,"","",Princess,"","",""
Daeron I,Male,"","143 AC, at King's Landing","161 AC, at Dorne","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm","The Young Dragon, The Boy King","",""
Daeron II,Male,"","153 AC, at King's Landing","209 AC, at King's Landing","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms","Daeron the Good, Daeron the Falseborn","",""
Daeron Targaryen,Male,"",In 114 AC,"In 130 AC, at Tumbleton","Prince, Ser",Daeron the Daring,"",""
Daeron Targaryen,Male,"",In 190 AC or 191 AC,In or between 221 AC and 233 AC,"Prince of Dragonstone, Prince of Summerhall",Daeron the Drunken,"",""
Daeron Vaith,Male,Dornish,"","",Lord of the Red Dunes,"","",""
Dagon Greyjoy,Male,Ironborn,"","",Lord of Pyke,"","",""
Dagos Manwoody,Male,"","","",Lord of Kingsgrave,"","",""
Dalbridge,Male,"",In 254 AC or before,"In 299 AC, at Skirling Pass","",Squire Dalbridge,"",""
Dale Drumm,Male,"","","","",Dale the Dread,"",""
Damion Lannister,Male,"",In or between 257 AC and 272 AC,"","Ser, Castellan of Casterly Rock","","",""
Damon Lannister,Male,Westerman,"",In 210 AC,"Lord of Casterly Rock, Shield of Lannisport, Warden of the West",The Grey Lion,"",""
Damon Lannister,Male,"",In 244 AC or 245 AC,"","","","",""
Damon Marbrand,Male,"","","",Lord of Ashemark,"","",""
Damon Paege,Male,"","","",Ser,"","",""
Damon Shett,Male,"","","","the Knight of Gull Tower, Ser","","",""
Damon Vypren,Male,"",In 265 AC or later,"",Ser,"","",""
Danelle Lothston,Female,"","","",Lady of Harrenhal,Mad Danelle,"",""
Danos Slynt,Male,"","","","","","",""
Danwell Frey,Male,"",In or between 252 AC and 261 AC,"",Ser,"","",""
Darlessa Marbrand,Female,"","","","","","",""
Daryn Hornwood,Male,Northmen,"","In 298 AC, at the Whispering Wood","","","",""
Daven Lannister,Male,Westerman,In 273 AC (roughly),"","Ser, Warden of the West","","",""
Deana Hardyng,Female,"","","","","","",""
Delena Florent,Female,"","","","","","",""
Della Frey,Female,"",In 296 AC,"","",Deaf Della,"",""
Delonne Allyrion,Female,Dornish,"","",Lady of Godsgrace,"","",""
Dennis Plumm,Male,"","","",Ser,"","",""
Denys Arryn,Male,"","","In 283 AC, at Stoney Sept","Ser, Keeper of the Gates of the Moon",The Darling of the Vale,"",""
Denys Darklyn,Male,"","","",Lord of Duskendale,"","",""
Denys Drumm,Male,Ironborn,"","","","","",""
Denys Mallister,Male,"","In 245 AC or before, at Seagard","",Ser,"","",""
Denys Redwyne,Male,"","","","","","",""
Denyse Hightower,Female,"","","","","","",""
Desmond Grell,Male,"",In or between 237 AC and 240 AC (roughly),"",Ser,"","",""
Desmond Redwyne,Male,"","","",Ser,"","",""
Devan Seaworth,Male,"",In 287 AC,"","","","",""
Deziel Dalt,Male,"","","",The Knight of Lemonwood,"","",""
Dick Follard,Male,"","","In 299 AC, at Castle Black","",Deaf Dick Follard,"",""
Dickon Frey,Male,"",In 294 AC,"","","","",""
Dickon Manwoody,Male,"","","","","","",""
Dickon Tarly,Male,"",In or between 287 AC and 290 AC,"","","",Freddie Stroma,Season 6
Domeric Bolton,Male,"",In or between 279 AC and 281 AC (roughly),In 297 AC,"","","",""
Donal Noye,Male,"",In or between 244 AC and 252 AC,"In 300 AC, at The Wall, near Castle Black","","","",""
Donel Greyjoy,Male,Ironborn,"","","","","",""
Donella Hornwood,Female,Northmen,In or before 249 AC,"In 299 AC, at Hornwood",Lady of Hornwood,"","",""
Donnel,Male,"","","",Ser,"","",""
Donnel Drumm,Male,Ironborn,"","","","","",""
Donnel Haigh,Male,"",In or between 255 AC and 282 AC,"",Ser,"","",""
Donnel Locke,Male,"","","In 299 AC, at the Twins",Ser,"","",""
Donnel Swann,Male,Stormlands,"","",Ser,Ser Donnel the Constant,"",""
Donnor Saltcliffe,Male,Ironborn,"","",Lord,"","",""
Donnor Stark,Male,Northmen,"","","Lord of Winterfell, Warden of the North","","",""
Dontos Hollard,Male,"","In or between 261 AC and 263 AC, at near Duskendale","In 300 AC, at Blackwater Bay",Ser,"Dontos the Red, Dontos the Drunk, Florian",Tony Way,"Season 2, Season 4"
Doran Martell,Male,Dornish,"In 247 AC or 248 AC, at Sunspear","",Prince of Dorne,"",Alexander Siddig,"Season 5, Season 6"
Dorna Swyft,Female,"","","","","","",""
Dorren Stark,Male,Northmen,"","",King in the North,"","",""
Duncan,Male,"","In 191 AC, 192 AC or 193 AC, at King's Landing","In 259 AC, at Summerhall","Ser, Lord Commander of the Kingsguard","Dunk, Duncan the Tall, Dunk the Lunk, Ser Giant, The Gallows Knight","",""
Duncan Targaryen,Male,"",In or between 220 AC and 224 AC,"In 259 AC, at Summerhall",Prince,"Prince Duncan the Small, Prince of Dragonflies","",""
Dunstan Drumm,Male,Ironborn,"In 212 AC or later, at Old Wyk","","Lord of Old Wyk, Captain of the Thunderer","The Drumm, The Bone Hand","",""
Duram Bar Emmon,Male,"",In 284 AC,"",Lord of Sharp Point,"","",""
Horton Redfort,Male,Valemen,"","",Lord of Redfort,"","",""
Hosman Norcross,Male,"","","",Ser,"","",""
Hosteen Frey,Male,"",In or between 250 AC and 258 AC,"",Ser,Ser Stupid,"",""
Hoster Frey,Male,"",In 287 AC,"","","","",""
Hoster Tully,Male,Rivermen,In or between 237 AC and 240 AC,"In 299 AC, at Riverrun","Lord Paramount of the Trident, Lord of Riverrun","","",""
Hother Umber,Male,Northmen,"In 241 AC or before, at Last Hearth","",Castellan of Last Hearth,"Hother Whoresbane, Whoresbane Umber","",""
Hotho Harlaw,Male,Ironborn,"","",Master of the Tower of Glimmering,Hotho Humpback,"",""
Howland Reed,Male,Crannogmen,"In or between 260 AC and 265 AC, at Greywater Watch","",Lord of Greywater Watch,"",Leo Woodruff,Season 6
Hubard Rambton,Male,"","","In 299 AC, at Dragonstone",Ser,"","",""
Hugh,Male,Valemen,"","In 298 AC, at King's Landing",Ser,Ser Hugh of the Vale,"",""
Hugh Beesbury,Male,"","","",Ser,"","",""
Hugh Grandison,Male,"","","",Lord of Grandview,Greybeard,"",""
Hugo Vance,Male,"","","",Ser,"","",""
Hugo Wull,Male,Northern mountain clans,"","","Big Bucket, The Wull","","",""
Humfrey Beesbury,Male,"","","In 209 AC, at Ashford",Ser,"","",""
Humfrey Hardyng,Male,"","","In 209 AC, at Ashford",Ser,"","",""
Humfrey Hewett,Male,"","","",Lord of Oakenshield,"","",""
Humfrey Swyft,Male,"","","",Ser,"","",""
Humfrey Wagstaff,Male,"","In 230 AC, 231 AC or 232 AC","","Ser, Castellan of Grandview","","",""
Hyle Hunt,Male,"","","",Ser,"","",""
Igon Vyrwel,Male,"","","","","","",""
Illifer,Male,"",In 240 AC or before,"",Ser,Illifer the Penniless,"",""
Ilyn Payne,Male,Westeros,"","",Ser King's Justice,"",Wilko Johnson,"Season 1, Season 2"
Imry Florent,Male,"","","In 299 AC, at the Blackwater Rush","Ser, Lord High Captain",The Fool of Florent,Gordon Mahon,Season 2
Jacelyn Bywater,Male,"","","In 299 AC, at King's Landing","Ser, Captain of the Mud Gate, Commander of the City Watch, Lord",Ironhand,"",""
Jack Bulwer,Male,"","","In 300 AC, at Beyond the Wall",First Ranger,Black Jack Bulwer,"",""
Jack Musgood,Male,Stormlands,"","",Lord Commander of the Night's Watch,"Jolly Jack, Sleepy Jack","",""
Jaehaerys I,Male,"","34 AC, at King's Landing","103 AC, at King's Landing","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm","The Conciliator, The Wise, The Old King","",""
Jaehaerys II,Male,"","225 AC, at King's Landing","262 AC, at King's Landing","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm","","",""
Jaime Frey,Male,"",In 299 AC or 300 AC,"","","","",""
Jaime Lannister,Male,Westerlands,"In 266 AC, at Casterly Rock","","Ser, Lord Commander of the Kingsguard, Warden of the East (formerly)","The Kingslayer, The Lion of Lannister, The Young Lion, Cripple",Nikolaj Coster-Waldau,"Season 1, Season 2, Season 3, Season 4, Season 5"
Jammos Frey,Male,"",In 266 AC or 267 AC,"",Ser,"","",""
Janei Lannister,Female,"",In 296 AC or 297 AC,"","","","",""
Janna Tyrell,Female,"","","","","","",""
Janos Slynt,Male,"","In or between 278 AC and 260 AC, at King's Landing","In 300 AC, at Castle Black",Commander of the City Watch Lord of Harrenhal,"",Dominic Carter,"Season 1, Season 2, Season 4, Season 5"
Janyce Hunter,Female,"","","","","","",""
Jared Frey,Male,"",In 248 AC or 249 AC,In 300 AC (suspected),Ser,"","",""
Jaremy Rykker,Male,"","","In 298 AC, at Castle Black",Seracting First Ranger,"","",""
Jarman Buckwell,Male,"","",In 300 AC (supposedly),Ser,"","",""
Jason Lannister,Male,"","","In 130 AC, at the Red Fork","Ser, Lord of Casterly Rock, Shield of Lannisport, Warden of the West","","",""
Jason Mallister,Male,"",At Seagard,"",Lord of Seagard,"","",""
Jasper Arryn,Male,"","","","Lord of the Eyrie Defender of the Vale, Warden of the East","","",""
Jasper Redfort,Male,Valemen,"","",Ser,"","",""
Jasper Waynwood,Male,"","","","","","",""
Jasper Wylde,Male,"","","In 130 AC, at King's Landing","Lord of the Rain House, Master of laws",Ironrod,"",""
Jeffory Mallister,Male,"","",At King's Landing,"","","",""
Jeffory Norcross,Male,"","","",Ser,Neveryield,"",""
Jena Dondarrion,Female,"","","","","","",""
Jeor Mormont,Male,Northmen,In 230 AC,"In 299 AC, at Craster's Keep","Lord of Bear Island (formerly), Lord Commander of the Night's Watch",The Old Bear,James Cosmo,"Season 1, Season 2, Season 3"
Jeyne Arryn,Female,Valemen,"","In 134 AC, at Gulltown","Lady of the Eyrie, Defender of the Vale, Warden of the East, Lady Regent",The Maiden of the Vale,"",""
Jeyne Beesbury,Female,"","","","","","",""
Jeyne Darry,Female,Westeros,"","","","","",""
Jeyne Farman,Female,"","","","","","",""
Jeyne Fossoway,Female,"","","","","","",""
Jeyne Goodbrook,Female,"",In 293 AC,"","","","",""
Jeyne Lothston,Female,"",In 164 AC,"","","","",""
Jeyne Lydden,Female,"","","","","","",""
Jeyne Marbrand,Female,"","",In 255 AC,Lady of Casterly Rock,"","",""
Jeyne Poole,Female,Northmen,At Winterfell,"","",Arya Stark,"",""
Jeyne Royce,Female,"","","","","","",""
Jeyne Swann,Female,"","","","","","",""
Jeyne Westerling,Female,"",In 27 AC or before,In 47 AC or 48 AC,"Queen, Black Bride","","",""
Jeyne Westerling,Female,Westerman,"In 283 AC, at the Crag","","Queen, Lady of Winterfell","","",""
Joanna Lannister,Female,Westerman,"In or between 245 AC and 250 AC, at Casterly Rock",In 273 AC,Lady of Casterly Rock,"","",""
Joanna Swyft,Female,"","","","","","",""
Jocelyn Swyft,Female,"","","","","","",""
Joffrey Baratheon,Male,"","286 AC, at King's Landing","300 AC, at Red Keep, King's Landing","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm","Joffrey the Illborn, The Young Usurper, Aerys the Third, Joffrey-called-Baratheon",Jack Gleeson,"Season 1, Season 2, Season 3, Season 4"
Joffrey Caswell,Male,"",In 190 AC or 191 AC,"",Lord of Bitterbridge,"","",""
Joffrey Lonmouth,Male,"",In 99 AC or before,"In 114 AC, at King's Landing",Ser,Knight of Kisses,"",""
Johanna Lannister,Female,"",At the Crag,"",Lady of Casterly Rock,"","",""
Johanna Swann,Female,"","","","",The Black Swan,"",""
John the Oak,Male,"","","","",The First Knight,"",""
Jojen Reed,Male,Crannogmen,"In 286 AC, at Greywater Watch","","",Little Grandfather,Thomas Brodie-Sangster,"Season 3, Season 4"
Jon Arryn,Male,Valemen,"In or between 217 AC and 220 AC (roughly), at the Eyrie","In 298 AC, at King's Landing","Lord of the Eyrie, Defender of the Vale, Warden of the East, Hand of the King","",John Standing,Season 1
Jon Bettley,Male,"","","",Ser,Beardless Jon,"",""
Jon Brax,Male,"",In 296 AC,"","","","",""
Jon Bulwer,Male,"","","",Lord of Blackcrown,"","",""
Jon Connington,Male,Stormlands,In or between 263 AC and 265 AC,"","Lord of Griffin's Roost, Hand of the King, Hand of the True King",Griffthe Mad King's Hand,"",""
Jon Fossoway,Male,Reach,"","","The Knight of New Barrel, Ser","","",""
Jon Hollard,Male,"","","",Ser,"","",""
Jon Lynderly,Male,"","","",Lord of the Snakewood,"","",""
Jon Myre,Male,Ironborn,"","","",Pinchface Jon,"",""
Jon Penrose,Male,"","","",Ser,"","",""
Luthor Tyrell,Male,"","","",Ser,"","",""
Luthor Tyrell,Male,"","","","","","",""
Lyanna Mormont,Female,Northmen,In 290 AC,"","","",Bella Ramsey,Season 6
Lyarra Stark,Female,Northmen,"","","","","",""
Lyessa Flint,Female,Northmen,"","",Lady of Widow's Watch,"","",""
Lyle Crakehall,Male,"",At Crakehall,"",Ser,Strongboar,"",""
Lyman Beesbury,Male,"",In 48 AC or 49 AC,"In 129 AC, at King's Landing","Lord, Master of coin","","",""
Lyman Darry,Male,"",In 290 AC or 291 AC,"In 299 AC, at Darry",Lord of Darry,"","",""
Lymond Goodbrook,Male,"","","",Lord,"","",""
Lymond Lychester,Male,Rivermen,"","",Lord of Castle Lychester,"","",""
Lymond Mallister,Male,"","","",Lord of Seagard,"","",""
Lymond Vikary,Male,"","","",Ser,"","",""
Lyn Corbray,Male,"",At Heart's Home,"",Ser,"","",""
Lynesse Hightower,Female,"","","","","","",""
Lyonel Baratheon,Male,"","",In or between 239 AC and 245 AC,"Ser, Lord of Storm's End, Lord Paramount of the Stormlands, Storm King (briefly)",The Laughing Storm,"",""
Lyonel Bentley,Male,"","","In 130 AC, at between Stokeworth and Duskendale",Ser,"","",""
Lyonel Corbray,Male,"","In 260 AC (roughly), at Heart's Home","",Lord of Heart's Home,"","",""
Lyonel Frey,Male,"",In or between 259 AC and 283 AC,"",Ser,"","",""
Lyonel Selmy,Male,"","","","Ser, Knight of Harvest Hall","","",""
Lyonel Strong,Male,"","","In 120 AC, at Harrenhal","Lord of Harrenhal, Master of laws, Hand of the King","","",""
Lyonel Tyrell,Male,Reach,"","In 159 AC or 160 AC, at Sandstone","Lord Paramount of the Mander, Lord of Highgarden, Defender of the Marches, High Marshal of the Reach, Warden of the South","","",""
Lyonel Tyrell,Male,"","","","","","",""
Lyra Mormont,Female,Northmen,In or between 277 AC and 288 AC,"","","","",""
Lysa Arryn,Female,"","In 266 AC or 267 AC, at Riverrun","In 300 AC, at the Eyrie",Lady of the Vale,Lysa Tully,Kate Dickie,"Season 1, Season 4"
Lysa Meadows,Female,"","","","","","",""
Lythene Frey,Female,"",In 251 AC and 259 AC,"","","","",""
Mace Tyrell,Male,"",In After 256 AC,"","Lord of Highgarden, Defender of the Marches, High Marshal of the Reach, Warden of the South, Hand of the King, Master of ships (formerly)","Lord Oaf, The Fat Flower, Lord Puff Fish",Roger Ashton-Griffiths,"Season 4, Season 5, Season 6"
Maege Mormont,Female,Northmen,In or between 239 AC and 257 AC,"",Lady of Bear Island,The She-Bear,Elizabeth Barrett,Season 1
Maegelle Frey,Female,"",In or between 249 AC and 266 AC,"","","","",""
Maegor I,Male,"",12 AC,"48 AC, at King's Landing","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm, Hand of the King, Ser",Maegor the Cruel,"",""
Maekar I,Male,"","or between 174 AC and 178 AC, at King's Landing","233 AC, at Starpike","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm, Prince of Summerhall",The Anvil,"",""
Maelor Targaryen,Male,"","In 127 AC, at King's Landing","In 130 AC, at Bitterbridge",Prince,"","",""
Maelys I Blackfyre,Male,Valyrian,"","In 260 AC, at Stepstones","",Maelys the Monstrous,"",""
Maldon Massey,Male,First Men,"","",Lord of Stonedance,"","",""
Mallador Locke,Male,"","","In 299 AC, at Fist of the First Men",Ser,"","",""
Malwyn Frey,Male,"",In 284 AC,"","","","",""
Mandon Moore,Male,Valemen,"","In 299 AC, at the Blackwater Rush",Ser,"",James Doran,"Season 1, Season 2"
Manfred Dondarrion,Male,"","","",Ser,"","",""
Manfred Lothston,Male,"","","","","","",""
Manfred Swann,Male,"","","",Ser,"","",""
Manfrey Martell,Male,Dornish,"","","Ser, Castellan of Sunspear","","",""
Manfryd Lothston,Male,"","","","",Manfryd o' the Black Hood,"",""
Manfryd Yew,Male,"","","",Ser,"","",""
Margot Lannister,Female,"","","",Lady of Starpike,"","",""
Mariah Martell,Female,Dornish,"","",Princess,Myriah Martell,"",""
Maric Seaworth,Male,"","","In 299 AC, at Blackwater Rush",Oarmaster,"","",""
Marissa Frey,Female,"",In 286 AC,"","","","",""
Mariya Darry,Female,"","","","","","",""
Mark Mullendore,Male,"","","",Ser,"","",""
Mark Ryswell,Male,Northmen,"","In 283 AC, at the Tower of Joy",Ser,"","",""
Marlon Manderly,Male,"",At White Harbor,"","Ser, Commander of the garrison at White Harbor","","",""
Marna Locke,Female,Northmen,"","",Lady of Winterfell,"","",""
Maron Botley,Male,"","","","",Fishwhiskers,"",""
Maron Greyjoy,Male,Ironborn,In 275 AC or before,"In 289 AC, at Pyke","","","",""
Maron Nymeros Martell,Male,Dornish,"","",Prince of Dorne,"","",""
Maron Volmark,Male,Ironborn,In 283 AC or 284 AC,"","Lord of Volmark, Lord of Greenshield","","",""
Marq Piper,Male,Rivermen,At Pinkmaiden Castle,"",Ser,"","",""
Marq Rankenfell,Male,"","","",Lord Commander of the Night's Watch,Mad Marq Rankenfell,"",""
Marsella Waynwood,Female,"","","","","","",""
Martyn Cassel,Male,Northmen,"","In 284 AC, at the Tower of Joy","","","",""
Martyn Lannister,Male,"",In or between 285 AC and 287 AC,"","","",Dean-Charles Chapman,Season 3
Martyn Mullendore,Male,"","","",Lord of Uplands,"","",""
Marwyn Belmore,Male,"","","",Ser,Ser Ding-Dong,"",""
Mary Mertyns,Female,Westeros,"","",Lady of Mistwood,"","",""
Matarys Targaryen,Male,"",In 184 AC or later,"In 209 AC, at King's Landing",Prince,The Even Younger Prince,"",""
Mathis Frey,Male,"",In 294 AC,"","","","",""
Mathis Rowan,Male,Reach,"","","Lord of Goldengrove, Marshall of the Northmarch","","",""
Maynard Plumm,Male,"","","",Ser,"","",""
Medgar Tully,Male,Rivermen,"",In or between 209 AC and 211 AC,"Lord Paramount of the Trident, Lord of Riverrun","","",""
Medger Cerwyn,Male,Northmen,At Cerwyn,"In 299 AC, at Harrenhal",Lord of Cerwyn,"","",""
Meera Reed,Female,Crannogmen,"In 283 AC, at Greywater Watch","","","",Ellie Kendrick,"Season 3, Season 4, Season 6"
Megga Tyrell,Female,"",In 286 AC (roughly),"","","","",""
Melantha Blackwood,Female,"","","",Lady of Winterfell,"","",""
Melara Crane,Female,"","","","","","",""
Melara Hetherspoon,Female,"",In 264 AC or 265 AC,In 276 AC,"","","",""
Meldred Merlyn,Male,Ironborn,"","",Lord of Pebbleton,The Merlyn,"",""
Melesa Crakehall,Female,"","","","","","",""
Melessa Florent,Female,"","","","","",Samantha Spiro,Season 6
Melisandre,Female,Asshai,At Unknown,"","","The Red Priestess, The Red Woman, The King's Red Shadow, Lady Red, Lot Seven",Carice van Houten,"Season 2, Season 3, Season 4, Season 5, Season 6"
Melissa Blackwood,Female,"",In or between 156 AC and 160 AC,"","",Missy,"",""
Melwyn Sarsfield,Male,"","","",Ser,"","",""
Meredyth Crane,Female,"",At Red Lake,"","",Merry,"",""
Merianne Frey,Female,"",In 288 AC,"","",Merry Frey,"",""
Durran,Male,First Men,Age of Heroes,"",Storm King,"Durran Godsgrief, The Godsgrief, King of a Thousand Years","",""
Dyanna Dayne,Female,"","",In or between 201 AC and 209 AC,Lady,"","",""
Dykk Harlaw,Male,"","","In 299 AC, at Winterfell","","","",""
Ebben,Male,"","","In 299 AC, at Skirling Pass","","","",""
Eddara Tallhart,Female,Northmen,In 289 AC or 290 AC,"",Lady of Torrhen's Square,"","",""
Eddard Karstark,Male,Northmen,At Karhold,"In 298 AC, at the Whispering Wood","",Edd,"",""
Eddard Stark,Male,Northmen,"In 263 AC, at Winterfell","In 299 AC, at Great Sept of Baelor in King's Landing","Lord of Winterfell, Warden of the North, Hand of the King, Protector of the Realm, Regent","Ned, The Ned, The Quiet Wolf","Sean Bean, Sebastian Croft, Robert Aramayo","Season 1, Season 6"
Edderion Stark,Male,Northmen,"","","King in the North, Lord of Winterfell",Ederrion the Bridegroom,"",""
Eddison Tollet,Male,Valemen,"","","",Dolorous Edd,Ben Crompton,"Season 2, Season 3, Season 4, Season 5, Season 6"
Eden Risley,Male,"","","",Ser,"","",""
Edgerran Oakheart,Male,"","","",Lord,Edgerran the Open-Handed,"",""
Edmund Ambrose,Male,"","","",Ser,"","",""
Edmund Waxley,Male,"","","","The Knight of Wickenden, Ser","","",""
Edmure Tully,Male,Rivermen,In or between 267 AC and 274 AC,"","Ser, Lord of Riverrun (lost to Emmon Frey)","",Tobias Menzies,"Season 3, Season 6"
Edmyn Tully,Male,Rivermen,"","","Lord of Riverrun, Lord Paramount of the Trident, Hand of the King","","",""
Edric Dayne,Male,"","In 287 AC, at Starfall","",Lord of Starfall,Ned,"",""
Edrick Stark,Male,Northmen,"","","King in the North, Lord of Winterfell",Edrick Snowbeard,"",""
Edwyd Fossoway,Male,"","","In 299 AC, at Blackwater Rush",Ser,"","",""
Edwyle Stark,Male,Northmen,"","","Lord of Winterfell, Warden of the North","","",""
Edwyn Frey,Male,"",In or between 259 AC and 278 AC,"","","","",""
Edwyn Osgrey,Male,"","","In 196 AC, at the Redgrass Field",Ser,"","",""
Edwyn Stark,Male,Northmen,"","","King in the North, Lord of Winterfell",The Spring King,"",""
Eglantine,Female,"","","",Septa,"","",""
Elbert Arryn,Male,"","","In 282 AC, at King's Landing",Ser,"","",""
Eldon Estermont,Male,Stormlands,In or between 228 AC and 232 AC,"","Ser, Lord of Greenstone","","",""
Eldred Codd,Male,Ironborn,"","","","","",""
Eleanor Mooton,Female,"",In 286 AC or 287 AC,"","","","",""
Eleyna Westerling,Female,"","In 287 AC, at Crag","","","","",""
Elia Martell,Female,"",In 256 AC or 257 AC,"In 283 AC, at King's Landing",Princess,Elia of Dorne,"",""
Elinor Tyrell,Female,"",In 286 AC (roughly),"","","","",""
Ella Lannister,Female,"","","","","","",""
Ellaria Sand,Female,Dornish,"","","",The serpent's whore,Indira Varma,"Season 4, Season 5"
Ellery Vance,Male,"","","",Ser,"","",""
Ellyn Ever Sweet,Female,"","","","","","",""
Ellyn Reyne,Female,"",At Castamere,"In 261 AC, at Tarbeck Hall",Lady of Tarbeck Hall,"","",""
Elmar Frey,Male,"",In 290 AC,"","","","",""
